name,Age,G,GS,MP,FG,FGA,FG_Per,threeP,threePA,threeP_Perc,twoP,twoPA,twoP_Per,eFG_Per,FT,FTA,FT_Per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS_Game,Salary
Jason Smith,30,74,3,14.4,2.4,4.4,0.529,0.5,1.1,0.474,1.9,3.4,0.546,0.585,0.5,0.7,0.686,0.9,2.6,3.5,0.5,0.3,0.7,0.8,2.3,5.7,2286
Tony Snell,25,80,80,29.2,3.1,6.8,0.455,1.8,4.4,0.406,1.3,2.3,0.548,0.588,0.6,0.7,0.81,0.3,2.8,3.1,1.2,0.7,0.2,0.7,1.6,8.5,3134
Marreese Speights,29,82,2,15.7,3,6.7,0.445,1.3,3.4,0.372,1.7,3.3,0.52,0.539,1.5,1.7,0.876,1.1,3.5,4.5,0.8,0.3,0.5,0.8,2.8,8.7,1455
Tiago Splitter,32,8,0,9.5,1.8,3.9,0.452,0.3,0.8,0.333,1.5,3.1,0.48,0.484,1.1,1.4,0.818,1,1.8,2.8,0.5,0.1,0.1,0.8,1,4.9,1994
Nik Stauskas,23,80,27,27.4,3.1,7.9,0.396,1.7,4.5,0.368,1.5,3.4,0.433,0.5,1.5,1.9,0.813,0.3,2.6,2.8,2.4,0.6,0.4,1.6,1.8,9.5,1951
Lance Stephenson,26,18,0,20.1,3,6.7,0.45,0.3,1.1,0.3,2.7,5.6,0.48,0.475,0.4,0.7,0.615,0.2,2.7,2.9,3.3,0.3,0.2,1.4,1.8,6.8,2045
Jarnell Stokes,23,2,0,3.5,0.5,0.5,1,0,0,0,0.5,0.5,1,1,0.5,1,0.5,0.5,0.5,1,1,0.5,0,0,1.5,1.5,1994
Diamond Stone,19,7,0,3.4,0.4,1.9,0.231,0,0,0,0.4,1.9,0.231,0.231,0.6,0.6,1,0.1,0.7,0.9,0,0,0.1,0.3,0.7,1.4,825
Rodney Stuckey,30,39,0,17.8,2.3,6.3,0.373,0.5,1.5,0.317,1.8,4.7,0.391,0.412,2.1,2.7,0.748,0.2,2,2.2,2.2,0.4,0,1.4,1.1,7.2,1994
Jared Sullinger,24,11,1,10.7,1.4,4.3,0.319,0.3,1.6,0.167,1.1,2.6,0.414,0.351,0.4,0.7,0.5,0.9,1.5,2.5,0.3,0.4,0.1,0.4,1.5,3.4,1994
Edy Tavares,24,2,0,14,2,2.5,0.8,0,0,0,2,2.5,0.8,0.8,0,1.5,0,2,3.5,5.5,0.5,0,3,1,1.5,4,1994
Isaiah Taylor,22,4,0,13,0.3,1.8,0.143,0,0.5,0,0.3,1.3,0.2,0.143,0.3,0.5,0.5,0.3,0.5,0.8,0.8,0.3,0.3,0,1.5,0.8,1146
Jeff Teague,28,82,82,32.4,4.9,11.1,0.442,1.1,3.1,0.357,3.8,8,0.475,0.492,4.4,5.1,0.867,0.4,3.6,4,7.8,1.2,0.4,2.6,2,15.3,4359
Mirza Teletovic,31,70,2,16.2,2.2,6,0.373,1.5,4.4,0.341,0.7,1.6,0.46,0.498,0.5,0.6,0.778,0.2,2.2,2.3,0.7,0.2,0.2,0.5,1.6,6.4,3240
Garrett Temple,30,65,21,26.6,2.8,6.6,0.424,1.3,3.4,0.373,1.6,3.3,0.476,0.519,0.9,1.1,0.784,0.5,2.3,2.8,2.6,1.3,0.4,1.2,2.2,7.8,2828
Jason Terry,39,74,0,18.4,1.4,3.3,0.432,1,2.3,0.427,0.4,1,0.444,0.582,0.3,0.4,0.828,0.2,1.2,1.4,1.3,0.6,0.3,0.5,1.3,4.1,1526
Lance Thomas,28,46,15,21,2.1,5.3,0.398,0.8,1.8,0.447,1.3,3.5,0.371,0.475,0.9,1.1,0.843,0.7,2.4,3.1,0.8,0.5,0.1,0.5,1.8,6,2580
Hollis Thompson,25,40,9,18.8,1.9,5,0.385,0.8,2.4,0.337,1.1,2.6,0.429,0.465,0.5,0.7,0.655,0.5,2.3,2.8,0.9,0.5,0.2,0.3,1.7,5.1,1994
Klay Thompson,26,78,78,34,8.3,17.6,0.468,3.4,8.3,0.414,4.8,9.3,0.516,0.565,2.4,2.8,0.853,0.6,3,3.7,2.1,0.8,0.5,1.6,1.8,22.3,4222
Tristan Thompson,25,78,78,29.9,3.4,5.6,0.6,0,0,0,3.4,5.6,0.604,0.6,1.4,2.7,0.498,3.7,5.5,9.2,1,0.5,1.1,0.8,2.3,8.1,4050
Marcus Thornton,29,33,1,17.4,2.5,6.4,0.4,0.8,2.4,0.35,1.7,3.9,0.431,0.467,0.7,0.8,0.852,0.7,1.6,2.3,1.2,0.6,0.1,0.8,1.5,6.6,215
Mike Tobey,22,2,0,12.5,0.5,2,0.25,0,0,0,0.5,2,0.25,0.25,0,0,0,1,0.5,1.5,0.5,0,0,0.5,1,1,1994
Anthony Tolliver,31,65,9,22.7,2.4,5.4,0.442,1.4,3.5,0.391,1,1.9,0.537,0.57,0.9,1.3,0.744,0.8,2.9,3.6,1.2,0.5,0.3,0.9,1.7,7.1,1626
Axel Toupane,24,4,0,11.8,1.3,2.3,0.556,0.3,1,0.25,1,1.3,0.8,0.611,0,0,0,0,0.3,0.3,0,0.3,0.3,0,1.5,2.8,158
